date,IC,TimingIC,top_5%_return,bottom_5%_return,top_10%_return,bottom_10%_return,top_15%_return,bottom_15%_return,top_20%_return,bottom_20%_return,top_25%_return,bottom_25%_return,top_30%_return,bottom_30%_return,top_20%_selection_rank_efficiency,top_20%_return_capture_rank_efficiency
2021-07-23,0.12491273777601626,0.11352057898503472,0.022581624017147958,0.0007368663514152374,0.01861021423806225,-0.002645685659394046,0.0077162114321144915,-0.00437051325983866,0.006352188719663605,-0.0036808218770574765,0.007575891284449906,-0.0078089950423596045,0.009318335248585271,-0.006651977160863668,0.2253458277554663,0.22789837086511125
2021-07-26,0.2062913223863473,0.17181321990905438,0.040740502188244154,0.0023916176509025887,0.03750714747700512,0.004154481513794641,0.03927290451995389,0.00603734953049409,0.04078720353602904,0.003344391285179993,0.03570779260478767,0.0012663241228059344,0.0349920335590564,0.003682193590712079,0.25164440900936813,0.23711146586533946
2021-07-27,0.07012999443972212,0.05126207160156669,0.06245353114104449,0.034382879502490686,0.0691146412525716,0.03142563694933765,0.0655711686717478,0.03410307887147761,0.06486113836528677,0.04104321498664195,0.057278301769914025,0.04239998516508727,0.053517356089660593,0.04075775992779269,0.2484991634681626,0.19420836057377994
2021-07-28,0.1103743905280019,0.09933282171567732,0.06236150147478863,-0.008640983631081985,0.042569512793213846,0.00711856321152398,0.03193000786692713,0.012884499678183895,0.03225131750491805,0.009573121883173835,0.03119437470438461,0.008861154171121027,0.029818340962049432,0.010163007792405757,0.21790722761596548,0.20587036282103546
2021-07-29,0.08059293990360572,0.05325062358970211,0.04278845897386708,-0.008517322864150377,0.036458158764776226,0.009437066108466643,0.03108869596491792,0.0033280130423114433,0.030376510880184834,0.007397042665862248,0.024537293166161125,0.012490637959989618,0.02354803167201137,0.014537902465014524,0.2160242973863199,0.2104342028502375
2021-07-30,0.08607015239672038,0.06621171770574379,0.04697997959556814,0.02107163864588928,0.024277670052021957,0.016237343605977058,0.024871378842054346,0.009433621930974486,0.023023322767072703,0.01065678502295408,0.021893294171578148,0.009532900404999442,0.021157835317932014,0.008459208590662327,0.21477480542678518,0.20115514837681736
2021-08-02,0.0035431487482684375,0.025472842745589787,0.023004027357906954,0.0400581001278975,0.027270464539488573,0.0372940909524526,0.025775819881122652,0.03321710383257756,0.024859980252351727,0.02756701271722798,0.024771584980482805,0.023921906139282308,0.02360079003861931,0.0250629121202277,0.20296611872513162,0.1894792135674621
2021-08-03,0.12962877136624074,0.09983366211264656,0.03639230361989747,0.03483688410170148,0.0332522440433284,0.02678657341245451,0.031929694926312244,0.020522228751782813,0.03325449824905739,0.020114612966292144,0.030768120253510625,0.018383939096759967,0.026948578937229684,0.018495930513783763,0.23888363292336803,0.22986936137284356
2021-08-04,0.15292846427660642,0.1906520535011753,0.02442125890199165,0.03426616696302202,0.039544604820395436,0.021064523366063778,0.041057367246687466,0.019362469998458354,0.03860981961622378,0.01623712922220101,0.037304935024149895,0.01926499781768135,0.033358425728662766,0.022874344320607736,0.23751293387263664,0.22240817405091165
2021-08-05,0.1487069304275185,0.16178109673963734,0.03131383531368935,0.023238990315730446,0.03097315540651221,0.02971055349961949,0.02892320163533889,0.02686446079040147,0.03189716601857512,0.019478588442353523,0.028544647432222722,0.018840281153950433,0.030010483577882448,0.017536171817706548,0.22670138265397738,0.2223885855205214
